starttime	seconds	ctime	dtime	ttime	wait
Sat Jul 24 22:58:21 2021	1627131501	1	14	15	14
Sat Jul 24 22:58:21 2021	1627131501	1	14	15	13
Sat Jul 24 22:58:22 2021	1627131502	1	13	15	13
Sat Jul 24 22:58:21 2021	1627131501	3	12	15	12
Sat Jul 24 22:58:22 2021	1627131502	1	14	15	14
Sat Jul 24 22:58:22 2021	1627131502	1	14	15	14
Sat Jul 24 22:58:21 2021	1627131501	2	12	15	12
Sat Jul 24 22:58:21 2021	1627131501	2	13	15	13
Sat Jul 24 22:58:21 2021	1627131501	1	14	15	13
Sat Jul 24 22:58:22 2021	1627131502	1	13	15	13
Sat Jul 24 22:58:21 2021	1627131501	1	14	15	14
Sat Jul 24 22:58:21 2021	1627131501	1	14	15	14
Sat Jul 24 22:58:21 2021	1627131501	2	13	15	12
Sat Jul 24 22:58:22 2021	1627131502	1	14	15	14
Sat Jul 24 22:58:21 2021	1627131501	2	13	15	13
Sat Jul 24 22:58:22 2021	1627131502	1	14	15	14
Sat Jul 24 22:58:22 2021	1627131502	1	14	15	14
Sat Jul 24 22:58:22 2021	1627131502	2	13	15	13
Sat Jul 24 22:58:21 2021	1627131501	1	14	15	14
Sat Jul 24 22:58:21 2021	1627131501	3	12	15	12
Sat Jul 24 22:58:22 2021	1627131502	1	14	15	14
Sat Jul 24 22:58:22 2021	1627131502	1	14	15	13
Sat Jul 24 22:58:21 2021	1627131501	1	14	15	14
Sat Jul 24 22:58:21 2021	1627131501	0	15	15	14
Sat Jul 24 22:58:21 2021	1627131501	1	14	15	14
Sat Jul 24 22:58:22 2021	1627131502	2	13	15	13
Sat Jul 24 22:58:21 2021	1627131501	1	14	15	14
Sat Jul 24 22:58:21 2021	1627131501	2	13	15	13
Sat Jul 24 22:58:22 2021	1627131502	2	13	15	13
Sat Jul 24 22:58:22 2021	1627131502	2	13	15	13
Sat Jul 24 22:58:22 2021	1627131502	1	14	15	14
Sat Jul 24 22:58:22 2021	1627131502	1	14	15	12
Sat Jul 24 22:58:22 2021	1627131502	1	14	15	14
Sat Jul 24 22:58:21 2021	1627131501	1	14	15	14
Sat Jul 24 22:58:22 2021	1627131502	4	11	15	9
Sat Jul 24 22:58:21 2021	1627131501	1	15	15	14
Sat Jul 24 22:58:22 2021	1627131502	4	11	15	9
Sat Jul 24 22:58:21 2021	1627131501	2	13	15	12
Sat Jul 24 22:58:21 2021	1627131501	1	15	15	14
Sat Jul 24 22:58:22 2021	1627131502	3	12	15	12
Sat Jul 24 22:58:21 2021	1627131501	1	14	15	14
Sat Jul 24 22:58:22 2021	1627131502	1	14	15	14
Sat Jul 24 22:58:21 2021	1627131501	2	14	15	14
Sat Jul 24 22:58:21 2021	1627131501	0	15	15	15
Sat Jul 24 22:58:21 2021	1627131501	1	14	15	14
Sat Jul 24 22:58:21 2021	1627131501	0	15	15	15
Sat Jul 24 22:58:22 2021	1627131502	1	14	15	14
Sat Jul 24 22:58:21 2021	1627131501	1	14	15	14
Sat Jul 24 22:58:22 2021	1627131502	1	14	15	14
Sat Jul 24 22:58:21 2021	1627131501	1	15	15	14
Sat Jul 24 22:58:21 2021	1627131501	2	14	15	14
Sat Jul 24 22:58:21 2021	1627131501	1	15	15	15
Sat Jul 24 22:58:21 2021	1627131501	1	14	15	14
Sat Jul 24 22:58:21 2021	1627131501	1	14	15	14
Sat Jul 24 22:58:22 2021	1627131502	1	14	15	14
Sat Jul 24 22:58:21 2021	1627131501	2	14	15	14
Sat Jul 24 22:58:21 2021	1627131501	2	13	15	13
Sat Jul 24 22:58:22 2021	1627131502	2	14	15	13
Sat Jul 24 22:58:22 2021	1627131502	1	15	15	14
Sat Jul 24 22:58:21 2021	1627131501	3	12	15	11
Sat Jul 24 22:58:21 2021	1627131501	2	13	15	13
Sat Jul 24 22:58:21 2021	1627131501	1	14	15	14
Sat Jul 24 22:58:22 2021	1627131502	2	13	15	13
Sat Jul 24 22:58:22 2021	1627131502	3	12	15	12
Sat Jul 24 22:58:22 2021	1627131502	1	14	15	14
Sat Jul 24 22:58:21 2021	1627131501	1	15	15	14
Sat Jul 24 22:58:21 2021	1627131501	2	14	15	14
Sat Jul 24 22:58:21 2021	1627131501	2	13	15	13
Sat Jul 24 22:58:21 2021	1627131501	1	15	15	15
Sat Jul 24 22:58:21 2021	1627131501	3	13	15	12
Sat Jul 24 22:58:22 2021	1627131502	2	14	15	14
Sat Jul 24 22:58:21 2021	1627131501	1	15	15	14
Sat Jul 24 22:58:21 2021	1627131501	0	15	15	15
Sat Jul 24 22:58:21 2021	1627131501	1	14	15	14
Sat Jul 24 22:58:22 2021	1627131502	1	15	15	15
Sat Jul 24 22:58:21 2021	1627131501	2	13	15	13
Sat Jul 24 22:58:21 2021	1627131501	1	15	15	15
Sat Jul 24 22:58:21 2021	1627131501	0	15	15	15
Sat Jul 24 22:58:21 2021	1627131501	2	14	15	14
Sat Jul 24 22:58:22 2021	1627131502	1	14	15	14
Sat Jul 24 22:58:21 2021	1627131501	1	14	15	14
Sat Jul 24 22:58:21 2021	1627131501	1	14	15	14
Sat Jul 24 22:58:21 2021	1627131501	2	14	15	14
Sat Jul 24 22:58:21 2021	1627131501	1	15	15	14
Sat Jul 24 22:58:21 2021	1627131501	1	15	15	15
Sat Jul 24 22:58:21 2021	1627131501	2	13	15	13
Sat Jul 24 22:58:21 2021	1627131501	1	15	15	14
Sat Jul 24 22:58:21 2021	1627131501	1	15	15	14
Sat Jul 24 22:58:21 2021	1627131501	1	15	15	15
Sat Jul 24 22:58:21 2021	1627131501	1	15	15	14
Sat Jul 24 22:58:21 2021	1627131501	2	13	15	13
Sat Jul 24 22:58:21 2021	1627131501	2	14	15	13
Sat Jul 24 22:58:22 2021	1627131502	1	14	15	14
Sat Jul 24 22:58:21 2021	1627131501	2	13	15	13
Sat Jul 24 22:58:22 2021	1627131502	1	14	16	14
Sat Jul 24 22:58:21 2021	1627131501	1	15	16	15
Sat Jul 24 22:58:21 2021	1627131501	0	15	16	15
Sat Jul 24 22:58:22 2021	1627131502	1	15	16	15
Sat Jul 24 22:58:22 2021	1627131502	2	13	16	13
Sat Jul 24 22:58:22 2021	1627131502	1	15	16	14
Sat Jul 24 22:58:22 2021	1627131502	1	15	16	14
Sat Jul 24 22:58:21 2021	1627131501	1	14	16	14
Sat Jul 24 22:58:21 2021	1627131501	2	14	16	14
Sat Jul 24 22:58:21 2021	1627131501	1	15	16	15
Sat Jul 24 22:58:21 2021	1627131501	1	15	16	15
Sat Jul 24 22:58:21 2021	1627131501	2	13	16	13
Sat Jul 24 22:58:21 2021	1627131501	1	15	16	15
Sat Jul 24 22:58:22 2021	1627131502	1	14	16	14
Sat Jul 24 22:58:21 2021	1627131501	2	13	16	13
Sat Jul 24 22:58:21 2021	1627131501	1	15	16	15
Sat Jul 24 22:58:21 2021	1627131501	2	14	16	14
Sat Jul 24 22:58:21 2021	1627131501	0	15	16	15
Sat Jul 24 22:58:21 2021	1627131501	1	15	16	15
Sat Jul 24 22:58:22 2021	1627131502	1	14	16	14
