starttime	seconds	ctime	dtime	ttime	wait
Sat Jul 24 22:57:34 2021	1627131454	1	16	16	16
Sat Jul 24 22:57:34 2021	1627131454	2	14	16	14
Sat Jul 24 22:57:34 2021	1627131454	1	16	16	16
Sat Jul 24 22:57:34 2021	1627131454	2	15	16	15
Sat Jul 24 22:57:34 2021	1627131454	1	16	16	15
Sat Jul 24 22:57:35 2021	1627131455	1	15	16	15
Sat Jul 24 22:57:34 2021	1627131454	1	16	16	15
Sat Jul 24 22:57:34 2021	1627131454	2	15	16	15
Sat Jul 24 22:57:35 2021	1627131455	1	15	16	15
Sat Jul 24 22:57:34 2021	1627131454	3	14	16	14
Sat Jul 24 22:57:34 2021	1627131454	2	15	16	14
Sat Jul 24 22:57:34 2021	1627131454	1	15	16	15
Sat Jul 24 22:57:34 2021	1627131454	3	13	16	13
Sat Jul 24 22:57:34 2021	1627131454	2	14	16	14
Sat Jul 24 22:57:34 2021	1627131454	3	13	17	12
Sat Jul 24 22:57:34 2021	1627131454	3	14	17	14
Sat Jul 24 22:57:34 2021	1627131454	3	14	17	11
Sat Jul 24 22:57:34 2021	1627131454	1	16	17	16
Sat Jul 24 22:57:34 2021	1627131454	2	15	17	15
Sat Jul 24 22:57:34 2021	1627131454	1	15	17	15
Sat Jul 24 22:57:34 2021	1627131454	4	13	17	12
Sat Jul 24 22:57:35 2021	1627131455	4	13	17	12
Sat Jul 24 22:57:35 2021	1627131455	8	9	17	9
Sat Jul 24 22:57:34 2021	1627131454	2	15	17	15
Sat Jul 24 22:57:34 2021	1627131454	3	14	17	14
Sat Jul 24 22:57:34 2021	1627131454	2	14	17	14
Sat Jul 24 22:57:34 2021	1627131454	2	15	17	15
Sat Jul 24 22:57:35 2021	1627131455	0	16	17	16
Sat Jul 24 22:57:34 2021	1627131454	2	14	17	14
